"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2003","test_get_detail_version[data0]","testcases.v1.0","Wed Apr 30 10:39:34 CST 2025","broken","Wed Apr 30 10:39:36 CST 2025","TestSendDevice","test_send_device","",""
"","2005","test_get_detail_version[data2]","testcases.v1.0","Wed Apr 30 10:39:38 CST 2025","broken","Wed Apr 30 10:39:40 CST 2025","TestSendDevice","test_send_device","",""
"","2003","test_search_all_senders[data2]","testcases.v1.0","Wed Apr 30 10:39:24 CST 2025","broken","Wed Apr 30 10:39:26 CST 2025","TestSendDevice","test_send_device","",""
"","2003","test_query_initialized_client[data0]","testcases.v2.0","Wed Apr 30 10:39:49 CST 2025","broken","Wed Apr 30 10:39:51 CST 2025","TestWebSocket","test_websocket","",""
"","2005","test_search_all_senders[data3]","testcases.v1.0","Wed Apr 30 10:39:26 CST 2025","broken","Wed Apr 30 10:39:28 CST 2025","TestSendDevice","test_send_device","",""
"","2015","test_search_all_senders[data0]","testcases.v1.0","Wed Apr 30 10:39:19 CST 2025","broken","Wed Apr 30 10:39:21 CST 2025","TestSendDevice","test_send_device","",""
"","2002","test_query_initialized_client[data1]","testcases.v2.0","Wed Apr 30 10:39:51 CST 2025","broken","Wed Apr 30 10:39:53 CST 2025","TestWebSocket","test_websocket","",""
"","2005","test_search_all_senders[data1]","testcases.v1.0","Wed Apr 30 10:39:21 CST 2025","broken","Wed Apr 30 10:39:23 CST 2025","TestSendDevice","test_send_device","",""
"","2004","test_get_detail_version[data6]","testcases.v1.0","Wed Apr 30 10:39:47 CST 2025","broken","Wed Apr 30 10:39:49 CST 2025","TestSendDevice","test_send_device","",""
"","2004","test_query_initialized_client[data2]","testcases.v2.0","Wed Apr 30 10:39:53 CST 2025","broken","Wed Apr 30 10:39:55 CST 2025","TestWebSocket","test_websocket","",""
"","2005","test_search_all_senders[data4]","testcases.v1.0","Wed Apr 30 10:39:28 CST 2025","broken","Wed Apr 30 10:39:30 CST 2025","TestSendDevice","test_send_device","",""
"","2005","test_search_all_senders[data5]","testcases.v1.0","Wed Apr 30 10:39:30 CST 2025","broken","Wed Apr 30 10:39:32 CST 2025","TestSendDevice","test_send_device","",""
"","2004","test_get_detail_version[data1]","testcases.v1.0","Wed Apr 30 10:39:36 CST 2025","broken","Wed Apr 30 10:39:38 CST 2025","TestSendDevice","test_send_device","",""
"","2005","test_search_all_senders[data6]","testcases.v1.0","Wed Apr 30 10:39:32 CST 2025","broken","Wed Apr 30 10:39:34 CST 2025","TestSendDevice","test_send_device","",""
"","2004","test_get_detail_version[data3]","testcases.v1.0","Wed Apr 30 10:39:40 CST 2025","broken","Wed Apr 30 10:39:42 CST 2025","TestSendDevice","test_send_device","",""
"","2003","test_get_detail_version[data5]","testcases.v1.0","Wed Apr 30 10:39:45 CST 2025","broken","Wed Apr 30 10:39:47 CST 2025","TestSendDevice","test_send_device","",""
"","2005","test_get_detail_version[data4]","testcases.v1.0","Wed Apr 30 10:39:42 CST 2025","broken","Wed Apr 30 10:39:44 CST 2025","TestSendDevice","test_send_device","",""
